2018-07-10 19:31:48,230-INFO: 
*********************2018-07-10_19-31-48 Mason_bbox2mysql*********************
2018-07-10 19:31:48,230-INFO: read index table from database to get id_project and task bounds
2018-07-10 19:31:48,230-INFO: connet to MySQL...
2018-07-10 19:31:50,782-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,783-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,784-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,785-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,786-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,787-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,788-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,789-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,791-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,792-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,793-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,794-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,795-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,796-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,797-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,798-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,799-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,800-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,802-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,803-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,804-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,805-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,806-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,807-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,808-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,809-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,811-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,812-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,813-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,814-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,815-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,816-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,817-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,818-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,819-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,821-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,822-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,823-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,824-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,826-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,831-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,832-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,833-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,834-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,835-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,837-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,838-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,839-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,840-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,841-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,842-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,844-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,845-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,846-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,847-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,848-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,849-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,850-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,851-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,852-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,853-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,854-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,856-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,858-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,859-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,860-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,861-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,862-INFO: The 2 row insert commit,project:189 task:2513
